Anio,Nomcultivo,Variedad,Nomunidad,TipoTecnologia,TipoProduccion,TipoMercado,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion
2015,Aguacate,Aguacate criollo,Tonelada,Cielo abierto,Convencional,Nacional,80.98,62.73,0,863.51,13.77,"17,606.02","15,202.97"
2015,Aguacate,Aguacate hass,Tonelada,Cielo abierto,Convencional,Nacional,"16,959.87","12,999.92",0,"118,783.90",9.14,"15,129.95","1,797,194.70"
2016,Aguacate,Aguacate criollo,Tonelada,Cielo abierto,Convencional,Nacional,92.5,62.65,0,761.17,12.15,"16,543.48","12,592.40"
2016,Aguacate,Aguacate hass,Tonelada,Cielo abierto,Convencional,Nacional,"19,445.05","13,173.25",0,"142,743.45",10.84,"13,397.79","1,912,447.41"
2017,Aguacate,Aguacate criollo,Tonelada,Cielo abierto,Convencional,Nacional,92.5,88.5,0,"1,109.48",12.54,"15,973.63","17,722.43"
2017,Aguacate,Aguacate hass,Tonelada,Cielo abierto,Convencional,Nacional,"20,934.72","14,586.91",0,"168,578.67",11.56,"16,447.94","2,772,771.40"
2018,Aguacate,Aguacate criollo,Tonelada,Cielo abierto,Convencional,Nacional,92.5,90.5,0,"1,290.35",14.26,"14,449.19","18,644.51"
2018,Aguacate,Aguacate hass,Tonelada,Cielo abierto,Convencional,Nacional,"22,436.33","18,571.23",0,"200,514.02",10.8,"15,228.82","3,053,592.69"
2019,Aguacate,Aguacate criollo,Tonelada,Cielo abierto,Convencional,Nacional,94.5,93.5,0,"1,362.13",14.57,"23,193.35","31,592.35"
2019,Aguacate,Aguacate hass,Tonelada,Cielo abierto,Convencional,Nacional,"23,607.82","19,463.40",0,"230,250.55",11.83,"20,329.10","4,680,785.89"
2020,Aguacate,Aguacate criollo,Tonelada,Cielo abierto,Convencional,Nacional,95,94,0,"1,387.81",14.76,"15,949.82","22,135.32"
2020,Aguacate,Aguacate hass,Tonelada,Cielo abierto,Convencional,Nacional,"26,575.79","20,826.06",0,"246,804.92",11.85,"16,875.27","4,164,899.58"
2021,Aguacate,Aguacate criollo,Tonelada,Cielo abierto,Convencional,Nacional,95,95,0,"1,309.44",13.78,"19,744.44","25,854.17"
2021,Aguacate,Aguacate hass,Tonelada,Cielo abierto,Convencional,Nacional,"27,684.42","21,318.56",0,"254,711.48",11.95,"21,814.86","5,556,494.64"
2022,Aguacate,Aguacate criollo,Tonelada,Cielo abierto,Convencional,Nacional,95,95,0,"1,303.38",13.72,"23,437.00","30,547.31"
2022,Aguacate,Aguacate hass,Tonelada,Cielo abierto,Convencional,Nacional,"28,552.79","27,737.79",0,"307,509.83",11.09,"31,475.38","9,678,988.12"
2023,Aguacate,Aguacate criollo,Tonelada,Cielo abierto,Convencional,Nacional,95,95,0,"1,304.49",13.73,"17,621.73","22,987.37"
2023,Aguacate,Aguacate hass,Tonelada,Cielo abierto,Convencional,Nacional,"29,523.87","26,795.64",0,"321,923.88",12.01,"27,806.04","8,951,428.27"
2024,Aguacate,Aguacate criollo,Tonelada,Cielo abierto,Convencional,Nacional,95,95,0,"1,303.34",13.72,"12,177.20","15,871.04"
2024,Aguacate,Aguacate hass,Tonelada,Cielo abierto,Convencional,Nacional,"30,807.87","28,314.64",0,"337,712.51",11.93,"24,969.41","8,432,482.25"
