Fecha,Anio,Mes,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Valorproduccion,Rendimiento,Precio,share_mes,Frecuencia,TipoDato
1996-01-01,1996,1,1040.0,613.0,0.0,386.014213022768,639625.5509787265,0.543383776375692,1657.0,0.0590687395597196,Mensual,Estimado
1996-02-01,1996,2,1040.0,613.0,0.0,479.08610302696223,793845.6727156765,0.6743990430646394,1657.0,0.0733108038296805,Mensual,Estimado
1996-03-01,1996,3,1040.0,613.0,0.0,606.1151266572505,1004332.7648710642,0.8532150250696123,1657.0,0.0927490629926932,Mensual,Estimado
1996-04-01,1996,4,1040.0,613.0,0.0,636.2765359743228,1054310.220109453,0.8956725821817828,1657.0,0.097364427846109,Mensual,Estimado
1996-05-01,1996,5,1040.0,613.0,0.0,762.0974973485667,1262795.553106575,1.0727880013353366,1657.0,0.1166178266791991,Mensual,Estimado
1996-06-01,1996,6,1040.0,613.0,0.0,504.2838728630062,835598.3773340012,0.7098693932948458,1657.0,0.0771666217081876,Mensual,Estimado
1996-07-01,1996,7,1040.0,613.0,0.0,512.6855626316292,849519.9772806095,0.721696268472994,1657.0,0.0784522666613051,Mensual,Estimado
1996-08-01,1996,8,1040.0,613.0,0.0,522.8464246280872,866356.5256087406,0.7359994919725442,1657.0,0.080007103998177,Mensual,Estimado
1996-09-01,1996,9,1040.0,613.0,0.0,466.23903613488886,772558.0828755108,0.656314507605438,1657.0,0.0713449175416815,Mensual,Estimado
1996-10-01,1996,10,1040.0,613.0,0.0,589.2278032170165,976350.4699305965,0.8294431087145768,1657.0000000000002,0.0901649278067355,Mensual,Estimado
1996-11-01,1996,11,1040.0,613.0,0.0,551.4165495233005,913697.222560109,0.7762170327607909,1657.0,0.0843789670272839,Mensual,Estimado
1996-12-01,1996,12,1040.0,613.0,0.0,518.7112749722012,859504.5826289373,0.7301785321216137,1657.0,0.0793743343492274,Mensual,Estimado
1997-01-01,1997,1,743.0,615.0,0.0,238.14620497808937,647871.9424855026,0.3644376437055742,2563.3050000000003,0.035338507935612,Mensual,Estimado
1997-02-01,1997,2,743.0,615.0,0.0,213.01389668766416,579500.0052011759,0.3259774078387573,2563.3050000000003,0.0316091254915661,Mensual,Estimado
1997-03-01,1997,3,743.0,615.0,0.0,261.27501136161266,710793.3932826838,0.39983189951959897,2563.3050000000003,0.0387705907941256,Mensual,Estimado
1997-04-01,1997,4,743.0,615.0,0.0,275.5634885454508,749664.9069778307,0.421697706524577,2563.3050000000003,0.0408908574781793,Mensual,Estimado
1997-05-01,1997,5,743.0,615.0,0.0,242.74507801316295,660383.0837264534,0.3714753475092418,2563.3050000000003,0.0360209345619769,Mensual,Estimado
1997-06-01,1997,6,743.0,615.0,0.0,246.0110156551831,669268.0011424869,0.3764732462532368,2563.3050000000003,0.0365055669469035,Mensual,Estimado
1997-07-01,1997,7,743.0,615.0,0.0,266.74447319583913,725672.9537745953,0.40820187452460255,2563.3050000000003,0.0395822040652677,Mensual,Estimado
1997-08-01,1997,8,743.0,615.0,0.0,261.3061623732584,710878.138980929,0.3998795702405507,2563.3050000000003,0.038775213291773,Mensual,Estimado
1997-09-01,1997,9,743.0,615.0,0.0,268.1544663545426,729508.8116951721,0.41035960189399795,2563.3050000000003,0.0397914329061496,Mensual,Estimado
1997-10-01,1997,10,743.0,615.0,0.0,376.62556795898723,1024602.2535851217,0.5763540702186507,2563.3050000000003,0.0558874562930682,Mensual,Estimado
1997-11-01,1997,11,743.0,615.0,0.0,1633.127855122165,4442891.357107815,2.4991927435728787,2563.3050000000003,0.2423397915302219,Mensual,Estimado
1997-12-01,1997,12,743.0,615.0,0.0,2456.2867797540443,6682278.592040234,3.7588815087818688,2563.305,0.3644883187051557,Mensual,Estimado
1998-01-01,1998,1,595.0,590.0,0.0,960.8046365521492,3769996.603971813,1.5377701669955095,3381.5150000000003,0.1927391447446638,Mensual,Estimado
1998-02-01,1998,2,595.0,590.0,0.0,1111.7157305511769,4362140.199281289,1.7793037414515314,3381.5150000000003,0.22301218265821,Mensual,Estimado
1998-03-01,1998,3,595.0,590.0,0.0,203.73528677916528,799414.688529126,0.32607882399230104,3381.5150000000003,0.0408696663548977,Mensual,Estimado
1998-04-01,1998,4,595.0,590.0,0.0,64.33000651906544,252417.50183539826,0.1029603325215387,3381.5150000000003,0.0129047154501635,Mensual,Estimado
1998-05-01,1998,5,595.0,590.0,0.0,85.3045707589735,334717.3086285872,0.1365301738054081,3381.5150000000003,0.0171122509045082,Mensual,Estimado
1998-06-01,1998,6,595.0,590.0,0.0,78.42103479377685,307707.7520289916,0.12551305768416895,3381.5150000000003,0.015731401162242,Mensual,Estimado
