Fecha,Anio,Sembrada,Cosechada,Rendimiento,Mes_Sin,Mes_Cos,Nommodalidad_one_hot
1996-01-01,0.0,0.495832581046161,0.4505556064244187,0.8042376980745669,0.75,0.9330127018922194,0.0
1996-01-01,0.0,0.0065772470691832785,0.00889421749823327,0.29396617362343824,0.75,0.9330127018922194,1.0
1996-02-01,0.0,0.495832581046161,0.4505556064244187,0.8042376980745669,0.9330127018922193,0.75,0.0
1996-02-01,0.0,0.0065772470691832785,0.00889421749823327,0.29396617362343824,0.9330127018922193,0.75,1.0
1996-03-01,0.0,0.495832581046161,0.4505556064244187,0.8042376980745669,1.0,0.5,0.0
1996-03-01,0.0,0.0065772470691832785,0.00889421749823327,0.29396617362343824,1.0,0.5,1.0
1996-04-01,0.0,0.495832581046161,0.4505556064244187,0.8042376980745669,0.9330127018922194,0.2500000000000001,0.0
1996-04-01,0.0,0.0065772470691832785,0.00889421749823327,0.29396617362343824,0.9330127018922194,0.2500000000000001,1.0
1996-05-01,0.0,0.495832581046161,0.4505556064244187,0.8042376980745669,0.75,0.06698729810778065,0.0
1996-05-01,0.0,0.0065772470691832785,0.00889421749823327,0.29396617362343824,0.75,0.06698729810778065,1.0
1996-06-01,0.0,0.495832581046161,0.4505556064244187,0.8042376980745669,0.5000000000000001,0.0,0.0
1996-06-01,0.0,0.0065772470691832785,0.00889421749823327,0.29396617362343824,0.5000000000000001,0.0,1.0
1996-07-01,0.0,0.495832581046161,0.4505556064244187,0.8042376980745669,0.2500000000000001,0.06698729810778059,0.0
1996-07-01,0.0,0.0065772470691832785,0.00889421749823327,0.29396617362343824,0.2500000000000001,0.06698729810778059,1.0
1996-08-01,0.0,0.495832581046161,0.4505556064244187,0.8042376980745669,0.06698729810778081,0.24999999999999978,0.0
1996-08-01,0.0,0.0065772470691832785,0.00889421749823327,0.29396617362343824,0.06698729810778081,0.24999999999999978,1.0
1996-09-01,0.0,0.495832581046161,0.4505556064244187,0.8042376980745669,0.0,0.4999999999999999,0.0
1996-09-01,0.0,0.0065772470691832785,0.00889421749823327,0.29396617362343824,0.0,0.4999999999999999,1.0
1996-10-01,0.0,0.495832581046161,0.4505556064244187,0.8042376980745669,0.0669872981077807,0.75,0.0
1996-10-01,0.0,0.0065772470691832785,0.00889421749823327,0.29396617362343824,0.0669872981077807,0.75,1.0
1996-11-01,0.0,0.495832581046161,0.4505556064244187,0.8042376980745669,0.24999999999999978,0.9330127018922192,0.0
1996-11-01,0.0,0.0065772470691832785,0.00889421749823327,0.29396617362343824,0.24999999999999978,0.9330127018922192,1.0
1996-12-01,0.0,0.495832581046161,0.4505556064244187,0.8042376980745669,0.4999999999999999,1.0,0.0
1996-12-01,0.0,0.0065772470691832785,0.00889421749823327,0.29396617362343824,0.4999999999999999,1.0,1.0
1997-01-01,0.035714285714291805,0.4144095672074739,0.45014825555973065,0.8212467488896045,0.75,0.9330127018922194,0.0
1997-01-01,0.035714285714291805,0.012894417683578019,0.01739725550546556,0.5930419837878498,0.75,0.9330127018922194,1.0
1997-02-01,0.035714285714291805,0.4144095672074739,0.45014825555973065,0.8212467488896045,0.9330127018922193,0.75,0.0
1997-02-01,0.035714285714291805,0.012894417683578019,0.01739725550546556,0.5930419837878498,0.9330127018922193,0.75,1.0
1997-03-01,0.035714285714291805,0.4144095672074739,0.45014825555973065,0.8212467488896045,1.0,0.5,0.0
1997-03-01,0.035714285714291805,0.012894417683578019,0.01739725550546556,0.5930419837878498,1.0,0.5,1.0
1997-04-01,0.035714285714291805,0.4144095672074739,0.45014825555973065,0.8212467488896045,0.9330127018922194,0.2500000000000001,0.0
1997-04-01,0.035714285714291805,0.012894417683578019,0.01739725550546556,0.5930419837878498,0.9330127018922194,0.2500000000000001,1.0
1997-05-01,0.035714285714291805,0.4144095672074739,0.45014825555973065,0.8212467488896045,0.75,0.06698729810778065,0.0
1997-05-01,0.035714285714291805,0.012894417683578019,0.01739725550546556,0.5930419837878498,0.75,0.06698729810778065,1.0
1997-06-01,0.035714285714291805,0.4144095672074739,0.45014825555973065,0.8212467488896045,0.5000000000000001,0.0,0.0
1997-06-01,0.035714285714291805,0.012894417683578019,0.01739725550546556,0.5930419837878498,0.5000000000000001,0.0,1.0
1997-07-01,0.035714285714291805,0.4144095672074739,0.45014825555973065,0.8212467488896045,0.2500000000000001,0.06698729810778059,0.0
1997-07-01,0.035714285714291805,0.012894417683578019,0.01739725550546556,0.5930419837878498,0.2500000000000001,0.06698729810778059,1.0
1997-08-01,0.035714285714291805,0.4144095672074739,0.45014825555973065,0.8212467488896045,0.06698729810778081,0.24999999999999978,0.0
1997-08-01,0.035714285714291805,0.012894417683578019,0.01739725550546556,0.5930419837878498,0.06698729810778081,0.24999999999999978,1.0
1997-09-01,0.035714285714291805,0.4144095672074739,0.45014825555973065,0.8212467488896045,0.0,0.4999999999999999,0.0
1997-09-01,0.035714285714291805,0.012894417683578019,0.01739725550546556,0.5930419837878498,0.0,0.4999999999999999,1.0
1997-10-01,0.035714285714291805,0.4144095672074739,0.45014825555973065,0.8212467488896045,0.0669872981077807,0.75,0.0
1997-10-01,0.035714285714291805,0.012894417683578019,0.01739725550546556,0.5930419837878498,0.0669872981077807,0.75,1.0
1997-11-01,0.035714285714291805,0.4144095672074739,0.45014825555973065,0.8212467488896045,0.24999999999999978,0.9330127018922192,0.0
1997-11-01,0.035714285714291805,0.012894417683578019,0.01739725550546556,0.5930419837878498,0.24999999999999978,0.9330127018922192,1.0
