Anio,Nommodalidad,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Valorproduccion,Rendimiento,Precio,Mes,share_mes,Frecuencia,TipoDato,Fecha
2000,Temporal,98.0,98.0,0.0,215.2082995944636,1083518.8764598563,2.1960030570863633,5034.744842562432,1,0.23366807773557394,Mensual,Estimado,2000-01-01
2000,Riego,556.0,521.0,0.0,926.1105749773357,4732654.064934135,1.7775634836417191,5110.247299627214,2,0.215775996033862,Mensual,Estimado,2000-02-01
2000,Temporal,98.0,98.0,0.0,198.7296923471869,1000553.2936090181,2.0278540035427235,5034.7448425624325,2,0.215775996033862,Mensual,Estimado,2000-02-01
2000,Riego,556.0,521.0,0.0,248.5846173897976,1270328.869745077,0.47712978385757693,5110.247299627214,3,0.05791813079911407,Mensual,Estimado,2000-03-01
2000,Temporal,98.0,98.0,0.0,53.34259846598406,268566.37251549197,0.5443122292447353,5034.7448425624325,3,0.05791813079911407,Mensual,Estimado,2000-03-01
2000,Riego,556.0,521.0,0.0,60.14984047440175,307380.5598573192,0.11545074947102063,5110.247299627214,4,0.014014408311836382,Mensual,Estimado,2000-04-01
2000,Temporal,98.0,98.0,0.0,12.907270055201307,64984.8113419853,0.13170683729797253,5034.7448425624325,4,0.014014408311836382,Mensual,Estimado,2000-04-01
2000,Riego,556.0,521.0,0.0,66.30951194028623,338858.0043324462,0.12727353539402347,5110.247299627214,5,0.015449560097923167,Mensual,Estimado,2000-05-01
2000,Temporal,98.0,98.0,0.0,14.229044850187236,71639.61017406972,0.1451943352059922,5034.744842562432,5,0.015449560097923167,Mensual,Estimado,2000-05-01
2000,Riego,556.0,521.0,0.0,52.948145120940715,270578.11562455713,0.10162791769854264,5110.247299627214,6,0.012336473700125982,Mensual,Estimado,2000-06-01
2000,Temporal,98.0,98.0,0.0,11.361892277816029,57204.22854748418,0.11593767630424519,5034.7448425624325,6,0.012336473700125982,Mensual,Estimado,2000-06-01
2000,Riego,556.0,521.0,0.0,65.05999819111949,332472.6800699198,0.12487523645128501,5110.247299627214,7,0.015158433874911345,Mensual,Estimado,2000-07-01
2000,Temporal,98.0,98.0,0.0,13.96091759879335,70289.65787796391,0.14245834284483008,5034.7448425624325,7,0.015158433874911345,Mensual,Estimado,2000-07-01
2000,Riego,556.0,521.0,0.0,64.50647405642063,329644.0348552964,0.1238128100890991,5110.247299627214,8,0.01502946739431981,Mensual,Estimado,2000-08-01
2000,Temporal,98.0,98.0,0.0,13.842139470168545,69691.64030746096,0.14124632112416882,5034.744842562432,8,0.01502946739431981,Mensual,Estimado,2000-08-01
2000,Riego,556.0,521.0,0.0,61.12880051428239,312383.2877575622,0.11732975146695276,5110.247299627214,9,0.01424249778990736,Mensual,Estimado,2000-09-01
2000,Temporal,98.0,98.0,0.0,13.117340464504679,66042.46225180043,0.13385041290310898,5034.7448425624325,9,0.01424249778990736,Mensual,Estimado,2000-09-01
2000,Riego,556.0,521.0,0.0,79.25949334901436,405035.61185662175,0.15212954577545942,5110.247299627214,10,0.018466797145623104,Mensual,Estimado,2000-10-01
2000,Temporal,98.0,98.0,0.0,17.00792017111888,85630.53836425433,0.17355020582774366,5034.744842562432,10,0.018466797145623104,Mensual,Estimado,2000-10-01
2000,Riego,556.0,521.0,0.0,1054.0197423776547,5386301.542239181,2.0230705227978016,5110.247299627214,11,0.24557775917466323,Mensual,Estimado,2000-11-01
2000,Temporal,98.0,98.0,0.0,226.17711619986483,1138744.0692929134,2.3079297571414776,5034.7448425624325,11,0.24557775917466323,Mensual,Estimado,2000-11-01
2000,Riego,556.0,521.0,0.0,611.0194119676631,3122460.300027558,1.1727819807440751,5110.247299627213,12,0.1423623979421396,Mensual,Estimado,2000-12-01
2000,Temporal,98.0,98.0,0.0,131.11576850471056,660134.4392577013,1.3379160051501078,5034.7448425624325,12,0.1423623979421396,Mensual,Estimado,2000-12-01
2001,Riego,526.5,513.0,0.0,889.392396279991,5383105.309914939,1.7337083748147972,6052.565023526776,1,0.22142365530908234,Mensual,Estimado,2001-01-01
2001,Temporal,101.5,101.5,0.0,203.15620374608304,1219360.9941392115,2.00153895316338,6002.085940054496,1,0.22142365530908234,Mensual,Estimado,2001-01-01
2001,Riego,526.5,513.0,0.0,880.6436002858817,5330152.653283022,1.7166541915904125,6052.565023526776,2,0.21924554990063527,Mensual,Estimado,2001-02-01
2001,Temporal,101.5,101.5,0.0,201.15779203383286,1207366.3552986744,1.9818501678210134,6002.085940054496,2,0.21924554990063527,Mensual,Estimado,2001-02-01
2001,Riego,526.5,513.0,0.0,74.42678644937003,450472.9644769536,0.1450814550669981,6052.565023526776,3,0.018529336631904307,Mensual,Estimado,2001-03-01
2001,Temporal,101.5,101.5,0.0,17.0006663597722,102039.46052954618,0.1674942498499724,6002.085940054497,3,0.018529336631904307,Mensual,Estimado,2001-03-01
2001,Riego,526.5,513.0,0.0,13.793234097209107,83484.44625808476,0.02688739590099241,6052.565023526776,4,0.003433971692486147,Mensual,Estimado,2001-04-01
2001,Temporal,101.5,101.5,0.0,3.15066902785604,18910.586273859903,0.031041074166069358,6002.085940054496,4,0.003433971692486147,Mensual,Estimado,2001-04-01
2001,Riego,526.5,513.0,0.0,10.640030669740382,64399.47748092281,0.020740800525809712,6052.565023526776,5,0.0026489483082481596,Mensual,Estimado,2001-05-01
2001,Temporal,101.5,101.5,0.0,2.4304100728176863,14587.530126625858,0.02394492682579001,6002.085940054496,5,0.0026489483082481596,Mensual,Estimado,2001-05-01
2001,Riego,526.5,513.0,0.0,11.714844362813352,70904.85724642391,0.022835953923612772,6052.565023526776,6,0.0029165345589198476,Mensual,Estimado,2001-06-01
2001,Temporal,101.5,101.5,0.0,2.67592045780896,16061.104556519349,0.026363748352797638,6002.085940054496,6,0.0029165345589198476,Mensual,Estimado,2001-06-01
2001,Riego,526.5,513.0,0.0,11.808578115116227,71472.18687713622,0.023018670789700248,6052.565023526777,7,0.0029398705691528436,Mensual,Estimado,2001-07-01
2001,Temporal,101.5,101.5,0.0,2.697331247197734,16189.613954475177,0.02657469209061807,6002.085940054496,7,0.0029398705691528436,Mensual,Estimado,2001-07-01
2001,Riego,526.5,513.0,0.0,12.005418994952265,72663.57910163206,0.023402376208483948,6052.565023526776,8,0.0029888761906421354,Mensual,Estimado,2001-08-01
2001,Temporal,101.5,101.5,0.0,2.7422939049141593,16459.483690182416,0.027017673940040978,6002.085940054496,8,0.0029888761906421354,Mensual,Estimado,2001-08-01
2001,Riego,526.5,513.0,0.0,11.76171123896479,71188.52206178007,0.022927312356656508,6052.565023526776,9,0.002928202564036346,Mensual,Estimado,2001-09-01
2001,Temporal,101.5,101.5,0.0,2.6866258525033473,16125.359255497264,0.026469220221707855,6002.085940054496,9,0.002928202564036346,Mensual,Estimado,2001-09-01
2001,Riego,526.5,513.0,0.0,17.55070778119037,106226.80005457204,0.03421190600621904,6052.565023526776,10,0.004369434556026183,Mensual,Estimado,2001-10-01
2001,Temporal,101.5,101.5,0.0,4.008956205154023,24062.099673249184,0.039497105469497765,6002.085940054495,10,0.004369434556026183,Mensual,Estimado,2001-10-01
2001,Riego,526.5,513.0,0.0,1131.0880010513652,6845983.67369431,2.2048499045835577,6052.565023526776,11,0.28159633556187047,Mensual,Estimado,2001-11-01
2001,Temporal,101.5,101.5,0.0,258.36463787801614,1550726.760414912,2.545464412591292,6002.085940054496,11,0.28159633556187047,Mensual,Estimado,2001-11-01
2001,Riego,526.5,513.0,0.0,951.8746906734057,5761283.459550224,1.8555062196362684,6052.565023526776,12,0.23697928415699596,Mensual,Estimado,2001-12-01
2001,Temporal,101.5,101.5,0.0,217.42849321404378,1305024.5020872466,2.1421526425028943,6002.085940054496,12,0.23697928415699596,Mensual,Estimado,2001-12-01
2002,Riego,458.7,444.0,0.0,710.3284708321598,3529976.506024002,1.5998388982706302,4969.498831841253,1,0.18117389007885323,Mensual,Estimado,2002-01-01
2002,Temporal,235.5,181.5,0.0,272.71199804119385,1548370.078305222,1.5025454437531343,5677.674944361402,1,0.18117389007885323,Mensual,Estimado,2002-01-01
2002,Riego,458.7,444.0,0.0,509.621710101766,2532564.4930316675,1.1477966443733467,4969.4988318412525,2,0.12998232716141658,Mensual,Estimado,2002-02-01
2002,Temporal,235.5,181.5,0.0,195.65589795972232,1110870.5895624466,1.07799392815274,5677.674944361402,2,0.12998232716141658,Mensual,Estimado,2002-02-01
2002,Riego,458.7,444.0,0.0,675.5316961482075,3357053.9748802576,1.5214677841175845,4969.498831841253,3,0.1722987466901848,Mensual,Estimado,2002-03-01
2002,Temporal,235.5,181.5,0.0,259.35268845540065,1472520.260995997,1.4289404322611605,5677.674944361403,3,0.1722987466901848,Mensual,Estimado,2002-03-01
2002,Riego,458.7,444.0,0.0,633.8477846963767,3149905.8256138107,1.427585100667515,4969.498831841254,4,0.1616669943368217,Mensual,Estimado,2002-04-01
2002,Temporal,235.5,181.5,0.0,243.34924322550086,1381657.9009907348,1.34076718030579,5677.674944361402,4,0.1616669943368217,Mensual,Estimado,2002-04-01
2002,Riego,458.7,444.0,0.0,7.260927849976664,36083.17246854265,0.016353441103551046,4969.498831841253,5,0.001851946807962013,Mensual,Estimado,2002-05-01
2002,Temporal,235.5,181.5,0.0,2.78764293268482,15827.330432730741,0.01535891422966843,5677.674944361403,5,0.001851946807962013,Mensual,Estimado,2002-05-01
2002,Riego,458.7,444.0,0.0,5.3245745880034,26460.46719513452,0.011992285108115765,4969.498831841253,6,0.001358067331854873,Mensual,Estimado,2002-06-01
2002,Temporal,235.5,181.5,0.0,2.0442308512745475,11606.478284772078,0.011262979896829462,5677.674944361402,6,0.001358067331854873,Mensual,Estimado,2002-06-01
2002,Riego,458.7,444.0,0.0,4.567034283009908,22695.871534396698,0.010286113250022317,4969.498831841253,7,0.001164851756831665,Mensual,Estimado,2002-07-01
2002,Temporal,235.5,181.5,0.0,1.7533931069708637,9955.196111064464,0.009660568082484097,5677.674944361402,7,0.001164851756831665,Mensual,Estimado,2002-07-01
2002,Riego,458.7,444.0,0.0,5.3029264558355536,26352.88682761486,0.01194352805368368,4969.498831841253,8,0.00135254583514055,Mensual,Estimado,2002-08-01
2002,Temporal,235.5,181.5,0.0,2.035919618345313,11559.289805813012,0.011217187979863983,5677.674944361403,8,0.00135254583514055,Mensual,Estimado,2002-08-01
2002,Riego,458.7,444.0,0.0,4.985420517373813,24775.041437326578,0.011228424588679758,4969.498831841253,9,0.00127156388333048,Mensual,Estimado,2002-09-01
2002,Temporal,235.5,181.5,0.0,1.914021535383205,10867.192114413365,0.01054557319770361,5677.674944361403,9,0.00127156388333048,Mensual,Estimado,2002-09-01
2002,Riego,458.7,444.0,0.0,352.7684366290644,1753082.3337386006,0.7945235059213163,4969.4988318412525,10,0.0899758809980525,Mensual,Estimado,2002-10-01
2002,Temporal,235.5,181.5,0.0,135.4361948723185,768962.6901862111,0.7462049304259973,5677.6749443614035,10,0.0899758809980525,Mensual,Estimado,2002-10-01
2002,Riego,458.7,444.0,0.0,534.7394605725932,2657387.1246549236,1.2043681544427776,4969.4988318412525,11,0.13638877255913312,Mensual,Estimado,2002-11-01
2002,Temporal,235.5,181.5,0.0,205.29919989463514,1165622.123339213,1.1311250682900007,5677.674944361403,11,0.13638877255913312,Mensual,Estimado,2002-11-01
2002,Riego,458.7,444.0,0.0,476.4215573256329,2367576.3725937232,1.073021525508182,4969.498831841253,12,0.12151441256041852,Mensual,Estimado,2002-12-01
2002,Temporal,235.5,181.5,0.0,182.90956950656997,1038501.0798713828,1.007766223176694,5677.674944361403,12,0.12151441256041852,Mensual,Estimado,2002-12-01
2003,Riego,449.2,438.5,0.0,457.2651591658096,2637292.6017381344,1.042793977573112,5767.53454505337,1,0.12611775909915593,Mensual,Estimado,2003-01-01
2003,Temporal,231.5,177.5,0.0,192.64487702396067,1239516.8658662792,1.085323250839215,6434.206219312602,1,0.12611775909915593,Mensual,Estimado,2003-01-01
2003,Riego,449.2,438.5,0.0,449.36950914196814,2591754.1674699774,1.024787934189209,5767.53454505337,2,0.12394006926716722,Mensual,Estimado,2003-02-01
