Fecha,Anio,Sembrada,Cosechada,Rendimiento,helada_2016_lag2,helada_2016_lag3,sequia_2020_2022,Mes_Sin,Mes_Cos
1996-01-01,0.0,0.1703853517645466,0.0934482653780491,0.8284131057532977,0.0,0.0,0.0,0.75,0.9330127018922194
1996-02-01,0.0,0.1703853517645466,0.0934482653780491,0.8284131057532977,0.0,0.0,0.0,0.9330127018922192,0.75
1996-03-01,0.0,0.1703853517645466,0.0934482653780491,0.8284131057532977,0.0,0.0,0.0,1.0,0.5
1996-04-01,0.0,0.1703853517645466,0.0934482653780491,0.8284131057532977,0.0,0.0,0.0,0.9330127018922194,0.2500000000000001
1996-05-01,0.0,0.1703853517645466,0.0934482653780491,0.8284131057532977,0.0,0.0,0.0,0.75,0.0669872981077806
1996-06-01,0.0,0.1703853517645466,0.0934482653780491,0.8284131057532977,0.0,0.0,0.0,0.5000000000000001,0.0
1996-07-01,0.0,0.1703853517645466,0.0934482653780491,0.8284131057532977,0.0,0.0,0.0,0.2500000000000001,0.0669872981077805
1996-08-01,0.0,0.1703853517645466,0.0934482653780491,0.8284131057532977,0.0,0.0,0.0,0.0669872981077808,0.2499999999999997
1996-09-01,0.0,0.1703853517645466,0.0934482653780491,0.8284131057532977,0.0,0.0,0.0,0.0,0.4999999999999999
1996-10-01,0.0,0.1703853517645466,0.0934482653780491,0.8284131057532977,0.0,0.0,0.0,0.0669872981077807,0.75
1996-11-01,0.0,0.1703853517645466,0.0934482653780491,0.8284131057532977,0.0,0.0,0.0,0.2499999999999997,0.9330127018922192
1996-12-01,0.0,0.1703853517645466,0.0934482653780491,0.8284131057532977,0.0,0.0,0.0,0.4999999999999999,1.0
1997-01-01,0.0357142857142918,0.0666996604430511,0.0946859456496074,1.0000000000000002,0.0,0.0,0.0,0.75,0.9330127018922194
1997-02-01,0.0357142857142918,0.0666996604430511,0.0946859456496074,1.0000000000000002,0.0,0.0,0.0,0.9330127018922192,0.75
1997-03-01,0.0357142857142918,0.0666996604430511,0.0946859456496074,1.0000000000000002,0.0,0.0,0.0,1.0,0.5
1997-04-01,0.0357142857142918,0.0666996604430511,0.0946859456496074,1.0000000000000002,0.0,0.0,0.0,0.9330127018922194,0.2500000000000001
1997-05-01,0.0357142857142918,0.0666996604430511,0.0946859456496074,1.0000000000000002,0.0,0.0,0.0,0.75,0.0669872981077806
1997-06-01,0.0357142857142918,0.0666996604430511,0.0946859456496074,1.0000000000000002,0.0,0.0,0.0,0.5000000000000001,0.0
1997-07-01,0.0357142857142918,0.0666996604430511,0.0946859456496074,1.0000000000000002,0.0,0.0,0.0,0.2500000000000001,0.0669872981077805
1997-08-01,0.0357142857142918,0.0666996604430511,0.0946859456496074,1.0000000000000002,0.0,0.0,0.0,0.0669872981077808,0.2499999999999997
1997-09-01,0.0357142857142918,0.0666996604430511,0.0946859456496074,1.0000000000000002,0.0,0.0,0.0,0.0,0.4999999999999999
1997-10-01,0.0357142857142918,0.0666996604430511,0.0946859456496074,1.0000000000000002,0.0,0.0,0.0,0.0669872981077807,0.75
1997-11-01,0.0357142857142918,0.0666996604430511,0.0946859456496074,1.0000000000000002,0.0,0.0,0.0,0.2499999999999997,0.9330127018922192
1997-12-01,0.0357142857142918,0.0666996604430511,0.0946859456496074,1.0000000000000002,0.0,0.0,0.0,0.4999999999999999,1.0
1998-01-01,0.0714285714285694,0.0,0.0789306082094023,0.6406678044250675,0.0,0.0,0.0,0.75,0.9330127018922194
1998-02-01,0.0714285714285694,0.0,0.0789306082094023,0.6406678044250675,0.0,0.0,0.0,0.9330127018922192,0.75
1998-03-01,0.0714285714285694,0.0,0.0789306082094023,0.6406678044250675,0.0,0.0,0.0,1.0,0.5
1998-04-01,0.0714285714285694,0.0,0.0789306082094023,0.6406678044250675,0.0,0.0,0.0,0.9330127018922194,0.2500000000000001
1998-05-01,0.0714285714285694,0.0,0.0789306082094023,0.6406678044250675,0.0,0.0,0.0,0.75,0.0669872981077806
1998-06-01,0.0714285714285694,0.0,0.0789306082094023,0.6406678044250675,0.0,0.0,0.0,0.5000000000000001,0.0
1998-07-01,0.0714285714285694,0.0,0.0789306082094023,0.6406678044250675,0.0,0.0,0.0,0.2500000000000001,0.0669872981077805
1998-08-01,0.0714285714285694,0.0,0.0789306082094023,0.6406678044250675,0.0,0.0,0.0,0.0669872981077808,0.2499999999999997
1998-09-01,0.0714285714285694,0.0,0.0789306082094023,0.6406678044250675,0.0,0.0,0.0,0.0,0.4999999999999999
1998-10-01,0.0714285714285694,0.0,0.0789306082094023,0.6406678044250675,0.0,0.0,0.0,0.0669872981077807,0.75
1998-11-01,0.0714285714285694,0.0,0.0789306082094023,0.6406678044250675,0.0,0.0,0.0,0.2499999999999997,0.9330127018922192
1998-12-01,0.0714285714285694,0.0,0.0789306082094023,0.6406678044250675,0.0,0.0,0.0,0.4999999999999999,1.0
1999-01-01,0.1071428571428612,0.0054474560186388,0.0878304885467168,0.8053296670654009,0.0,0.0,0.0,0.75,0.9330127018922194
1999-02-01,0.1071428571428612,0.0054474560186388,0.0878304885467168,0.8053296670654009,0.0,0.0,0.0,0.9330127018922192,0.75
1999-03-01,0.1071428571428612,0.0054474560186388,0.0878304885467168,0.8053296670654009,0.0,0.0,0.0,1.0,0.5
1999-04-01,0.1071428571428612,0.0054474560186388,0.0878304885467168,0.8053296670654009,0.0,0.0,0.0,0.9330127018922194,0.2500000000000001
1999-05-01,0.1071428571428612,0.0054474560186388,0.0878304885467168,0.8053296670654009,0.0,0.0,0.0,0.75,0.0669872981077806
