Fecha,Volumenproduccion
1996-01-01,0.264508729907581
1996-02-01,0.29677648637573667
1996-03-01,0.3360945774283872
1996-04-01,0.3448033144404056
1996-05-01,0.37907246331372113
1996-06-01,0.3049573844336281
1996-07-01,0.30763936014502813
1996-08-01,0.310853612904534
1996-09-01,0.29252234278650674
1996-10-01,0.3311234753717961
1996-11-01,0.31972713678900244
1996-12-01,0.3095493281589771
1997-01-01,0.203775458027651
1997-02-01,0.19171027102601695
1997-03-01,0.2143257497972954
1997-04-01,0.22061039500758117
1997-05-01,0.20591286240533374
1997-06-01,0.20741845270950826
1997-07-01,0.21675132578723993
1997-08-01,0.2143396362657607
1997-09-01,0.21737256952319856
1997-10-01,0.26104624487846545
1997-11-01,0.5631942045431373
1997-12-01,0.6946189978725354
1998-01-01,0.42784638402780045
1998-02-01,0.4615758888569232
1998-03-01,0.1870766041622201
1998-04-01,0.09685114545171297
1998-05-01,0.11440259959854993
1998-06-01,0.10890915439358068
1998-07-01,0.11171480087414559
1998-08-01,0.10059127302526505
1998-09-01,0.08834596385992438
1998-10-01,0.09106300852475324
1998-11-01,0.4745929874202111
1998-12-01,0.4467525131969737
1999-01-01,0.4738506849510854
1999-02-01,0.47522231193216286
1999-03-01,0.22615509750760576
1999-04-01,0.0869300976376347
1999-05-01,0.09412542276727337
1999-06-01,0.08668343730083539
1999-07-01,0.0780028486209956
1999-08-01,0.09762243066522241
1999-09-01,0.08241420592638105
1999-10-01,0.08581836057709102
1999-11-01,0.5378677244334007
1999-12-01,0.4495235714299296
2000-01-01,0.4839912164709834
2000-02-01,0.46439746736603815
2000-03-01,0.231791270509222
2000-04-01,0.10445849232457566
2000-05-01,0.11062393928283881
2000-06-01,0.09683316370520145
2000-07-01,0.10939727560117063
2000-08-01,0.10885009892823222
2000-09-01,0.1054588565991344
2000-10-01,0.12271108138489722
2000-11-01,0.4966187497654021
2000-12-01,0.3738360716496582
2001-01-01,0.4574250530140274
2001-02-01,0.45508164547656005
2001-03-01,0.11910485507685692
2001-04-01,0.040405859330291116
2001-05-01,0.033152971071422954
2001-06-01,0.03573327240308882
2001-07-01,0.03595255733142144
2001-08-01,0.03641023170516405
2001-09-01,0.03584302443671422
2001-10-01,0.04803141560126406
2001-11-01,0.5181160062664788
2001-12-01,0.47383561607669306
2002-01-01,0.4329752621041846
2002-02-01,0.3639786924638751
2002-03-01,0.4217919186096665
2002-04-01,0.4080075133761241
2002-05-01,0.02670281008352199
2002-06-01,0.020104323599786256
2002-07-01,0.017197950497158887
2002-08-01,0.020024263828944178
2002-09-01,0.018830653495063465
2002-10-01,0.2997613464586102
2002-11-01,0.3732820473696187
2002-12-01,0.35132124521706204
2003-01-01,0.34867177652911646
2003-02-01,0.34549055453453853
2003-03-01,0.3913769976678655
2003-04-01,0.3989242032299932
2003-05-01,0.025732727078727147
2003-06-01,0.013668075946901115
2003-07-01,0.01351914736096671
2003-08-01,0.021346811654926856
2003-09-01,0.014073723508522873
2003-10-01,0.37931055204399466
2003-11-01,0.3210640735724861
2003-12-01,0.40443410739229335
2004-01-01,0.3687180609166155
2004-02-01,0.33375652777971043
2004-03-01,0.43727691776324945
2004-04-01,0.3711951258721668
2004-05-01,0.012228854931186806
2004-06-01,0.015927038788060732
2004-07-01,0.009986207362095656
2004-08-01,0.0
2004-09-01,0.01469515012663225
2004-10-01,0.17698777444723307
2004-11-01,0.2741117669607799
2004-12-01,0.32226086676825305
2005-01-01,0.24881154192174448
2005-02-01,0.2832154884677649
2005-03-01,0.32658690336748647
2005-04-01,0.3235303807242012
2005-05-01,0.2987371504791968
2005-06-01,0.2617701910803387
2005-07-01,0.2912129492104539
2005-08-01,0.27999627478413486
2005-09-01,0.3024189334014282
2005-10-01,0.3184899576748754
2005-11-01,0.31817097240625036
2005-12-01,0.347163615369144
2006-01-01,0.40369815262095093
2006-02-01,0.34990659358129494
2006-03-01,0.37285612904308774
2006-04-01,0.3272543761321631
2006-05-01,0.26220521463720664
2006-06-01,0.24639703065859728
2006-07-01,0.17238670800364236
2006-08-01,0.24976476949223153
2006-09-01,0.27855403832356596
2006-10-01,0.32865446790040376
2006-11-01,0.34647281873502345
2006-12-01,0.3402044608872681
2007-01-01,0.4125297921413118
2007-02-01,0.3357239238608203
2007-03-01,0.4601307472152405
2007-04-01,0.45708558009756184
2007-05-01,0.4333146376635435
2007-06-01,0.3913546328971456
2007-07-01,0.3563128098497197
2007-08-01,0.3668449454956058
2007-09-01,0.33653009752552837
2007-10-01,0.415185368102958
2007-11-01,0.43795951255851173
2007-12-01,0.3897936772617701
2008-01-01,0.44023729678400836
2008-02-01,0.40925822240880816
2008-03-01,0.44465551264611425
2008-04-01,0.43794735629137377
2008-05-01,0.4149671812267519
2008-06-01,0.35431789390601726
2008-07-01,0.300827750343847
2008-08-01,0.38178912330394404
2008-09-01,0.41033259966279145
2008-10-01,0.4596062647903007
2008-11-01,0.4760633372338772
2008-12-01,0.48669121979443847
2009-01-01,0.60158383371609
2009-02-01,0.5227360167768731
2009-03-01,0.5985538699382827
2009-04-01,0.5775793420427977
2009-05-01,0.4958918648773667
2009-06-01,0.49186028059637765
2009-07-01,0.37099690439829464
2009-08-01,0.3778124955729082
2009-09-01,0.4267943654836457
2009-10-01,0.49356650074095
2009-11-01,0.4637556805404162
2009-12-01,0.47889698760471516
2010-01-01,0.8248115801731255
2010-02-01,0.6973412579311036
2010-03-01,0.8842778731539236
2010-04-01,0.772878953641273
2010-05-01,0.6811529906506824
2010-06-01,0.6088878098790412
2010-07-01,0.5506796605782246
