Data Type,Year,Month,Quantity Description,General First Unit of Quantity,Suppressed
General First Unit of Quantity,2000,1,kilograms,3069276,0
General First Unit of Quantity,2000,2,kilograms,2834260,0
General First Unit of Quantity,2000,3,kilograms,760766,0
General First Unit of Quantity,2000,4,kilograms,184082,0
General First Unit of Quantity,2000,5,kilograms,202933,0
General First Unit of Quantity,2000,6,kilograms,162042,0
General First Unit of Quantity,2000,7,kilograms,199109,0
General First Unit of Quantity,2000,8,kilograms,197415,0
General First Unit of Quantity,2000,9,kilograms,187078,0
General First Unit of Quantity,2000,10,kilograms,242565,0
General First Unit of Quantity,2000,11,kilograms,3225712,0
General First Unit of Quantity,2000,12,kilograms,1869958,0
General First Unit of Quantity,2001,1,kilograms,2846549,0
General First Unit of Quantity,2001,2,kilograms,2818548,0
General First Unit of Quantity,2001,3,kilograms,238207,0
General First Unit of Quantity,2001,4,kilograms,44146,0
General First Unit of Quantity,2001,5,kilograms,34054,0
General First Unit of Quantity,2001,6,kilograms,37494,0
General First Unit of Quantity,2001,7,kilograms,37794,0
General First Unit of Quantity,2001,8,kilograms,38424,0
General First Unit of Quantity,2001,9,kilograms,37644,0
General First Unit of Quantity,2001,10,kilograms,56172,0
General First Unit of Quantity,2001,11,kilograms,3620109,0
General First Unit of Quantity,2001,12,kilograms,3046527,0
General First Unit of Quantity,2002,1,kilograms,4921869,0
General First Unit of Quantity,2002,2,kilograms,3531171,0
General First Unit of Quantity,2002,3,kilograms,4680762,0
General First Unit of Quantity,2002,4,kilograms,4391934,0
General First Unit of Quantity,2002,5,kilograms,50311,0
General First Unit of Quantity,2002,6,kilograms,36894,0
General First Unit of Quantity,2002,7,kilograms,31645,0
General First Unit of Quantity,2002,8,kilograms,36744,0
General First Unit of Quantity,2002,9,kilograms,34544,0
General First Unit of Quantity,2002,10,kilograms,2444334,0
General First Unit of Quantity,2002,11,kilograms,3705212,0
General First Unit of Quantity,2002,12,kilograms,3301127,0
General First Unit of Quantity,2003,1,kilograms,4413592,0
General First Unit of Quantity,2003,2,kilograms,4337382,0
General First Unit of Quantity,2003,3,kilograms,5501124,0
General First Unit of Quantity,2003,4,kilograms,5705804,0
General First Unit of Quantity,2003,5,kilograms,65388,0
General First Unit of Quantity,2003,6,kilograms,35012,0
General First Unit of Quantity,2003,7,kilograms,34696,0
General First Unit of Quantity,2003,8,kilograms,53253,0
General First Unit of Quantity,2003,9,kilograms,35880,0
General First Unit of Quantity,2003,10,kilograms,5181673,0
General First Unit of Quantity,2003,11,kilograms,3774396,0
General First Unit of Quantity,2003,12,kilograms,5857601,0
General First Unit of Quantity,2004,1,kilograms,6604527,0
General First Unit of Quantity,2004,2,kilograms,5464869,0
General First Unit of Quantity,2004,3,kilograms,9153634,0
General First Unit of Quantity,2004,4,kilograms,6689378,0
General First Unit of Quantity,2004,5,kilograms,43076,0
General First Unit of Quantity,2004,6,kilograms,53789,0
General First Unit of Quantity,2004,7,kilograms,37160,0
General First Unit of Quantity,2004,8,kilograms,16132,0
General First Unit of Quantity,2004,9,kilograms,50088,0
General First Unit of Quantity,2004,10,kilograms,1683380,0
General First Unit of Quantity,2004,11,kilograms,3770225,0
General First Unit of Quantity,2004,12,kilograms,5113772,0
General First Unit of Quantity,2005,1,kilograms,7827079,0
General First Unit of Quantity,2005,2,kilograms,9971805,0
General First Unit of Quantity,2005,3,kilograms,13046492,0
General First Unit of Quantity,2005,4,kilograms,12816252,0
General First Unit of Quantity,2005,5,kilograms,11024616,0
General First Unit of Quantity,2005,6,kilograms,8604370,0
General First Unit of Quantity,2005,7,kilograms,10507643,0
General First Unit of Quantity,2005,8,kilograms,9760085,0
General First Unit of Quantity,2005,9,kilograms,11282122,0
General First Unit of Quantity,2005,10,kilograms,12441061,0
General First Unit of Quantity,2005,11,kilograms,12417505,0
General First Unit of Quantity,2005,12,kilograms,14650006,0
General First Unit of Quantity,2006,1,kilograms,14779749,0
General First Unit of Quantity,2006,2,kilograms,11250519,0
General First Unit of Quantity,2006,3,kilograms,12697242,0
General First Unit of Quantity,2006,4,kilograms,9908580,0
General First Unit of Quantity,2006,5,kilograms,6529869,0
General First Unit of Quantity,2006,6,kilograms,5815099,0
General First Unit of Quantity,2006,7,kilograms,3020972,0
General First Unit of Quantity,2006,8,kilograms,5963889,0
General First Unit of Quantity,2006,9,kilograms,7312799,0
General First Unit of Quantity,2006,10,kilograms,9989045,0
General First Unit of Quantity,2006,11,kilograms,11041603,0
General First Unit of Quantity,2006,12,kilograms,10665292,0
General First Unit of Quantity,2007,1,kilograms,19253267,0
General First Unit of Quantity,2007,2,kilograms,12998148,0
General First Unit of Quantity,2007,3,kilograms,23746903,0
General First Unit of Quantity,2007,4,kilograms,23445288,0
General First Unit of Quantity,2007,5,kilograms,21157304,0
General First Unit of Quantity,2007,6,kilograms,17406060,0
General First Unit of Quantity,2007,7,kilograms,14554394,0
General First Unit of Quantity,2007,8,kilograms,15384606,0
General First Unit of Quantity,2007,9,kilograms,13057424,0
General First Unit of Quantity,2007,10,kilograms,19491519,0
General First Unit of Quantity,2007,11,kilograms,21595118,0
General First Unit of Quantity,2007,12,kilograms,17273588,0
General First Unit of Quantity,2008,1,kilograms,21294038,0
General First Unit of Quantity,2008,2,kilograms,18511950,0
General First Unit of Quantity,2008,3,kilograms,21706732,0
General First Unit of Quantity,2008,4,kilograms,21081704,0
General First Unit of Quantity,2008,5,kilograms,19009967,0
General First Unit of Quantity,2008,6,kilograms,14058146,0
General First Unit of Quantity,2008,7,kilograms,10311397,0
General First Unit of Quantity,2008,8,kilograms,16208403,0
General First Unit of Quantity,2008,9,kilograms,18605166,0
General First Unit of Quantity,2008,10,kilograms,23132717,0
General First Unit of Quantity,2008,11,kilograms,24754991,0
General First Unit of Quantity,2008,12,kilograms,25831955,0
General First Unit of Quantity,2009,1,kilograms,36276943,0
General First Unit of Quantity,2009,2,kilograms,27625126,0
General First Unit of Quantity,2009,3,kilograms,35922657,0
General First Unit of Quantity,2009,4,kilograms,33517977,0
General First Unit of Quantity,2009,5,kilograms,24948880,0
General First Unit of Quantity,2009,6,kilograms,24558759,0
General First Unit of Quantity,2009,7,kilograms,14294571,0
General First Unit of Quantity,2009,8,kilograms,14799716,0
General First Unit of Quantity,2009,9,kilograms,18688979,0
General First Unit of Quantity,2009,10,kilograms,24723487,0
General First Unit of Quantity,2009,11,kilograms,21924857,0
General First Unit of Quantity,2009,12,kilograms,23325250,0
General First Unit of Quantity,2010,1,kilograms,30565802,0
General First Unit of Quantity,2010,2,kilograms,22008952,0
General First Unit of Quantity,2010,3,kilograms,35038935,0
General First Unit of Quantity,2010,4,kilograms,26909874,0
General First Unit of Quantity,2010,5,kilograms,21022891,0
General First Unit of Quantity,2010,6,kilograms,16897479,0
General First Unit of Quantity,2010,7,kilograms,13902796,0
General First Unit of Quantity,2010,8,kilograms,10050918,0
General First Unit of Quantity,2010,9,kilograms,14201183,0
General First Unit of Quantity,2010,10,kilograms,19359553,0
General First Unit of Quantity,2010,11,kilograms,24561205,0
General First Unit of Quantity,2010,12,kilograms,32125861,0
General First Unit of Quantity,2011,1,kilograms,39510698,0
General First Unit of Quantity,2011,2,kilograms,27082034,0
General First Unit of Quantity,2011,3,kilograms,31454036,0
General First Unit of Quantity,2011,4,kilograms,28363031,0
General First Unit of Quantity,2011,5,kilograms,22494130,0
General First Unit of Quantity,2011,6,kilograms,18566393,0
General First Unit of Quantity,2011,7,kilograms,9829936,0
General First Unit of Quantity,2011,8,kilograms,16138451,0
General First Unit of Quantity,2011,9,kilograms,21187033,0
General First Unit of Quantity,2011,10,kilograms,32827604,0
General First Unit of Quantity,2011,11,kilograms,34191330,0
General First Unit of Quantity,2011,12,kilograms,37292936,0
General First Unit of Quantity,2012,1,kilograms,46669424,0
General First Unit of Quantity,2012,2,kilograms,31252576,0
General First Unit of Quantity,2012,3,kilograms,39741056,0
General First Unit of Quantity,2012,4,kilograms,37866628,0
General First Unit of Quantity,2012,5,kilograms,28753782,0
General First Unit of Quantity,2012,6,kilograms,25172818,0
General First Unit of Quantity,2012,7,kilograms,16607488,0
General First Unit of Quantity,2012,8,kilograms,27586879,0
General First Unit of Quantity,2012,9,kilograms,29639212,0
General First Unit of Quantity,2012,10,kilograms,47788858,0
General First Unit of Quantity,2012,11,kilograms,47250134,0
General First Unit of Quantity,2012,12,kilograms,52990085,0
General First Unit of Quantity,2013,1,kilograms,70211440,0
General First Unit of Quantity,2013,2,kilograms,47722853,0
General First Unit of Quantity,2013,3,kilograms,55859629,0
General First Unit of Quantity,2013,4,kilograms,45439582,0
General First Unit of Quantity,2013,5,kilograms,44134987,0
General First Unit of Quantity,2013,6,kilograms,29951422,0
General First Unit of Quantity,2013,7,kilograms,19856000,0
General First Unit of Quantity,2013,8,kilograms,20408360,0
General First Unit of Quantity,2013,9,kilograms,29225541,0
General First Unit of Quantity,2013,10,kilograms,49827628,0
General First Unit of Quantity,2013,11,kilograms,47852392,0
General First Unit of Quantity,2013,12,kilograms,49281317,0
General First Unit of Quantity,2014,1,kilograms,68614676,0
General First Unit of Quantity,2014,2,kilograms,48315778,0
General First Unit of Quantity,2014,3,kilograms,54360056,0
General First Unit of Quantity,2014,4,kilograms,45872378,0
General First Unit of Quantity,2014,5,kilograms,41263591,0
General First Unit of Quantity,2014,6,kilograms,37397846,0
General First Unit of Quantity,2014,7,kilograms,30025547,0
General First Unit of Quantity,2014,8,kilograms,35208014,0
General First Unit of Quantity,2014,9,kilograms,57766276,0
General First Unit of Quantity,2014,10,kilograms,66530119,0
General First Unit of Quantity,2014,11,kilograms,58380290,0
General First Unit of Quantity,2014,12,kilograms,60920459,0
General First Unit of Quantity,2015,1,kilograms,82796666,0
General First Unit of Quantity,2015,2,kilograms,58970191,0
General First Unit of Quantity,2015,3,kilograms,65480365,0
General First Unit of Quantity,2015,4,kilograms,58629937,0
General First Unit of Quantity,2015,5,kilograms,60720230,0
General First Unit of Quantity,2015,6,kilograms,51293690,0
General First Unit of Quantity,2015,7,kilograms,58794151,0
General First Unit of Quantity,2015,8,kilograms,61108572,0
General First Unit of Quantity,2015,9,kilograms,76380389,0
General First Unit of Quantity,2015,10,kilograms,79282879,0
General First Unit of Quantity,2015,11,kilograms,77584281,0
General First Unit of Quantity,2015,12,kilograms,73027314,0
General First Unit of Quantity,2016,1,kilograms,99315525,0
General First Unit of Quantity,2016,2,kilograms,73684399,0
General First Unit of Quantity,2016,3,kilograms,80587820,0
